,SupplierUniqueCatalogueNumber,BrandName,Generic,Manufacturer,Description,Dosage,Form,PackSize,PackSizeUnits,ProductType,RequiresRx,TaxName,IsTaxExempt,IsTaxIncluded,TaxPercent,PricePerPackage,CatalogTag,Status,PointsAccumulation
,1MGE0000033,Telmikind 20 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,21.4,,Available,1
,1MGE0000034,Monotrate 10 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,21.87,,Available,1
,1MGE0000035,Cyra Tablet,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,22,,Available,1
,1MGE0000036,Topp 40 Tablet,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,22,,Available,1
,1MGE0000037,Flexon Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,22,,Available,1
,1MGE0000038,Okamet 500 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,22.12,,Available,1
,1MGE0000039,Levosiz Tablet,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,23.25,,Available,1
,1MGE0000040,Aciloc 150 Tablet,,Cadila Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,23.86,,Available,1
,1MGE0000041,LCZ Tablet,,Rapross Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,23.9,,Available,1
,1MGE0000042,Carvistar 3.125 Tablet,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,24.45,,Available,1
,1MGE0000043,Levolin 0.63mg Respules,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,24.5,,Available,1
,1MGE0000044,Doxovent Tablet,,Glenmark Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,24.5,,Available,1
,1MGE0000045,Atchol 10 Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,24.57,,Available,1
,1MGE0000046,Rantac 150 Tablet,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,24.64,,Available,1
,1MGE0000047,Lecope Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,24.68,,Available,1
,1MGE0000048,Deriphyllin Retard 150  Tablet PR,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,25.3,,Available,1
,1MGE0000049,Glyciphage 850 Tablet,,Franco-Indian Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,25.3,,Available,1
,1MGE0000050,Amlokind-AT Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,25.58,,Available,1
,1MGE0000051,Domstal 10mg Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,26.8,,Available,1
,1MGE0000052,Glimestar 1 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,26.95,,Available,1
,1MGE0000053,Sizodon MD 0.5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,27,,Available,1
,1MGE0000054,Aten 25 Tablet,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,27.39,,Available,1
,1MGE0000055,Syndopa CR 125 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,27.45,,Available,1
,1MGE0000056,Amlong 2.5 Tablet,,Micro Labs Ltd,,,,,,medication,No,GST,No,Yes,0,27.72,,Available,1
,1MGE0000057,Aten 50 Tablet,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,27.9,,Available,1
,1MGE0000058,Amlosafe 5 Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,28.01,,Available,1
,1MGE0000059,Macsart 40 Tablet,,Macleods Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,28.68,,Available,1
,1MGE0000060,Amlip 5 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,29.09,,Available,1
,1MGE0000061,Amlopin 5 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,29.12,,Available,1
,1MGE0000062,Clopikind Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,29.58,,Available,1
,1MGE0000063,Gemer 0.5 Tablet PR,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,29.75,,Available,1
,1MGE0000064,Tide 5 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,30.4,,Available,1
,1MGE0000065,Telvas 20 Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,31.23,,Available,1
,1MGE0000066,Gluconorm SR 500mg Tablet,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,31.49,,Available,1
,1MGE0000067,Aldactone Tablet,,RPG Life Sciences Ltd,,,,,,medication,No,GST,No,Yes,0,31.8,,Available,1
,1MGE0000068,Obimet SR Tablet,,Corona Remedies Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,31.84,,Available,1
,1MGE0000069,Gluformin XL 500 Tablet,,Abbott,,,,,,medication,No,GST,No,Yes,0,31.84,,Available,1
,1MGE0000070,Cetapin XR 500mg Tablet,,Sanofi India  Ltd,,,,,,medication,No,GST,No,Yes,0,31.94,,Available,1
,1MGE0000071,Aztor Asp 75 Capsule,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,32.25,,Available,1
,1MGE0000072,Envas 2.5 Tablet,,Cadila Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,32.31,,Available,1
,1MGE0000073,Ecosprin AV 75/20 Capsule,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,32.52,,Available,1
,1MGE0000074,Amodep AT Tablet,,FDC Ltd,,,,,,medication,No,GST,No,Yes,0,32.8,,Available,1
,1MGE0000075,Betnovate-N  Cream,,Glaxo SmithKline Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,33.3,,Available,1
,1MGE0000076,Glyciphage Tablet,,Franco-Indian Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,33.4,,Available,1
,1MGE0000077,Glimestar 2 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,33.41,,Available,1
,1MGE0000078,New Modlip-Asg 75 Capsule,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,34.1,,Available,1
,1MGE0000079,Tide Plus 10 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,34.35,,Available,1
,1MGE0000080,Telmikind 40 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,34.67,,Available,1
,1MGE0000081,Nicardia Retard 10 Tablet SR,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,35.16,,Available,1
,1MGE0000082,Ramitorva   Capsule,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,35.2,,Available,1
,1MGE0000083,Tonact-ASP 75 Capsule,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,35.6,,Available,1
,1MGE0000084,Ecosprin AV 150/20 Capsule,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,35.77,,Available,1
,1MGE0000085,Itrasys 100 Capsule,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,36,,Available,1
,1MGE0000086,Ozomet-PG 2 Tablet ER,,Ozone Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,36.3,,Available,1
,1MGE0000087,Metolar 25 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,36.44,,Available,1
,1MGE0000088,Monotrate 20 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,36.62,,Available,1
,1MGE0000089,Lipikind 10 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,36.9,,Available,1
,1MGE0000090,Cardivas 3.125 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,37,,Available,1
,1MGE0000091,Oleanz 2.5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,37,,Available,1
,1MGE0000092,Prolomet XL 12.5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,37.5,,Available,1
,1MGE0000093,Glizid 40 Tablet,,Panacea Biotec Ltd,,,,,,medication,No,GST,No,Yes,0,37.5,,Available,1
,1MGE0000094,Syndopa Plus Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,37.8,,Available,1
,1MGE0000095,Repace 25 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,38,,Available,1
,1MGE0000096,Combiflam Tablet,,Sanofi India  Ltd,,,,,,medication,No,GST,No,Yes,0,38.07,,Available,1
,1MGE0000097,Glycomet 850 SR Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,38.7,,Available,1
,1MGE0000098,Losakind 50 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,38.94,,Available,1
,1MGE0000099,Tonact-ASP 75 Capsule DR,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,39.15,,Available,1
,1MGE0000100,Pacitane Tablet,,Pfizer Ltd,,,,,,medication,No,GST,No,Yes,0,39.94,,Available,1
,1MGE0000101,Dilzem 30 Tablet CR,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,40.05,,Available,1
,1MGE0000102,GP 1 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,40.1,,Available,1
,1MGE0000103,Glyciphage SR 1gm Tablet,,Franco-Indian Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,40.65,,Available,1
,1MGE0000104,Prodep Capsule,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,40.65,,Available,1
,1MGE0000105,Zivast 10 Tablet,,FDC Ltd,,,,,,medication,No,GST,No,Yes,0,40.65,,Available,1
,1MGE0000106,Tazloc 20 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,40.77,,Available,1
,1MGE0000107,Flunil 20 Capsule,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,40.77,,Available,1
,1MGE0000108,Aciloc 300 Tablet,,Cadila Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,41.6,,Available,1
,1MGE0000109,Meftal-Spas Tablet,,Blue Cross Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,42,,Available,1
,1MGE0000110,Sorbitrate 5 Tablet,,Abbott,,,,,,medication,No,GST,No,Yes,0,42,,Available,1
,1MGE0000111,Betacap TR 40 Capsule,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,42.44,,Available,1
,1MGE0000112,Fruselac Tablet,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,42.45,,Available,1
,1MGE0000113,Cheston Cold Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,42.5,,Available,1
,1MGE0000114,Aciloc RD 20 Tablet,,Cadila Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,42.7,,Available,1
,1MGE0000115,Deriphyllin Retard 300 Tablet PR,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,42.75,,Available,1
,1MGE0000116,Glycomet 500 SR Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,42.78,,Available,1
,1MGE0000117,Melmet 500 SR Tablet,,Micro Labs Ltd,,,,,,medication,No,GST,No,Yes,0,42.78,,Available,1
,1MGE0000118,Evion LC Tablet,,Merck Ltd,,,,,,medication,No,GST,No,Yes,0,42.85,,Available,1
,1MGE0000119,Cyra-D Capsule,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,43,,Available,1
,1MGE0000120,Metocard XL 25 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,43.5,,Available,1
,1MGE0000121,Oleanz 5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,43.5,,Available,1
,1MGE0000122,Rosuless 10 Tablet,,Corona Remedies Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,43.56,,Available,1
,1MGE0000123,Amlovas 5 Tablet,,Macleods Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,43.64,,Available,1
,1MGE0000124,Amlong Tablet,,Micro Labs Ltd,,,,,,medication,No,GST,No,Yes,0,43.68,,Available,1
,1MGE0000125,Lasilactone  50 Tablet,,Sanofi India  Ltd,,,,,,medication,No,GST,No,Yes,0,44.31,,Available,1
,1MGE0000126,Prolomet XL 25 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,45,,Available,1
,1MGE0000127,Meloset Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,45,,Available,1
,1MGE0000128,Piosys 15 Tablet,,Systopic Laboratories Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,45,,Available,1
,1MGE0000129,Metzok 25 Tablet PR,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,45.02,,Available,1
,1MGE0000130,Revelol XL 25 Tablet,,Ipca Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,45.06,,Available,1
,1MGE0000131,Nupenta Tablet,,Macleods Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,45.65,,Available,1
,1MGE0000132,Syndopa CR Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,45.84,,Available,1
,1MGE0000133,Starvog 0.3 Tablet MD,,Merck Ltd,,,,,,medication,No,GST,No,Yes,0,45.99,,Available,1
,1MGE0000134,Inderal 40 Tablet,,Abbott,,,,,,medication,No,GST,No,Yes,0,46.13,,Available,1
,1MGE0000135,Qutan 25 Tablet,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,46.5,,Available,1
,1MGE0000136,Ciplar-LA 20 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,46.9,,Available,1
,1MGE0000137,Levocet Tablet,,Hetero Healthcare Limited,,,,,,medication,No,GST,No,Yes,0,47,,Available,1
,1MGE0000138,Glucored Forte Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,47,,Available,1
,1MGE0000139,Aerocort Rotacap,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,47.26,,Available,1
,1MGE0000140,Lithosun SR Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,48,,Available,1
,1MGE0000141,Nicardia Retard 20 Tablet SR,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,48.21,,Available,1
,1MGE0000142,Glycomet-GP 0.5 Tablet SR,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,48.37,,Available,1
,1MGE0000143,Betnovate-C Cream,,Glaxo SmithKline Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,48.5,,Available,1
,1MGE0000144,Tide 10 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,48.95,,Available,1
,1MGE0000145,Triglynase 1 Tablet SR,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,48.98,,Available,1
,1MGE0000146,Dytor 5 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,49,,Available,1
,1MGE0000147,Clopilet A 75 Capsule,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,49,,Available,1
,1MGE0000148,Torglip 50 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,49,,Available,1
,1MGE0000149,Metsmall 500 Tablet SR,,Dr Reddy's Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,49.14,,Available,1
,1MGE0000150,Maxoza-L Powder,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,49.25,,Available,1
,1MGE0000151,Nodosis Tablet,,Steadfast Medishield Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,49.3,,Available,1
,1MGE0000152,Clopilet A 150 Capsule,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,50,,Available,1
,1MGE0000153,Ecosprin-AV 75 Capsule,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,50.15,,Available,1
,1MGE0000154,Ecosprin-AV 150 Capsule,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,50.8,,Available,1
,1MGE0000155,Nexito 5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,50.96,,Available,1
,1MGE0000156,Rexipra 5 Tablet,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,50.96,,Available,1
,1MGE0000157,Stalopam 5 Tablet,,Lupin Ltd,,,,,,medication,No,GST,No,Yes,0,50.96,,Available,1
,1MGE0000158,Dytor Plus LS Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,51.72,,Available,1
,1MGE0000159,Turbovas ASP Capsule,,Micro Labs Ltd,,,,,,medication,No,GST,No,Yes,0,52,,Available,1
,1MGE0000160,Lipikind 20 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,52.29,,Available,1
,1MGE0000161,Ondem -MD 4 Tablet,,Alkem Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,52.33,,Available,1
,1MGE0000162,Carca 3.125 Tablet,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,52.5,,Available,1
,1MGE0000163,Pantakind Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,52.7,,Available,1
,1MGE0000164,Concor COR 1.25 Tablet,,Merck Ltd,,,,,,medication,No,GST,No,Yes,0,52.7,,Available,1
,1MGE0000165,Zerodol-P Tablet,,Ipca Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,52.75,,Available,1
,1MGE0000166,Telvas 40 Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,52.95,,Available,1
,1MGE0000167,Olmetime 20 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,53.14,,Available,1
,1MGE0000168,Finalo Tablet,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,53.5,,Available,1
,1MGE0000169,Pioglit 15 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,53.5,,Available,1
,1MGE0000170,Envas 5 Tablet,,Cadila Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,53.72,,Available,1
,1MGE0000171,Rowasa 1gm Pellets,,Abbott,,,,,,medication,No,GST,No,Yes,0,53.87,,Available,1
,1MGE0000172,Qutipin 25 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,54,,Available,1
,1MGE0000173,Rantac OD 300 Tablet CR,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,54.4,,Available,1
,1MGE0000174,Rabekind 20 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,54.45,,Available,1
,1MGE0000175,GP 0.5 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,55,,Available,1
,1MGE0000176,Glimiprex MF 1/500 Tablet PR,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,55,,Available,1
,1MGE0000177,Temsan 40 Tablet,,Emcure Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,55.19,,Available,1
,1MGE0000178,Omez Capsule,,Dr Reddy's Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,55.23,,Available,1
,1MGE0000179,Stamlo 2.5 Tablet,,Dr Reddy's Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,55.23,,Available,1
,1MGE0000180,Amlodac 2.5 Tablet,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,55.32,,Available,1
,1MGE0000181,Omee Capsule,,Alkem Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,55.57,,Available,1
,1MGE0000182,Ocid 20 Capsule,,Zydus Cadila,,,,,,medication,No,GST,No,Yes,0,55.62,,Available,1
,1MGE0000183,Sinarest New Tablet,,Centaur Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,55.73,,Available,1
,1MGE0000184,Glimy 1 Tablet,,Dr Reddy's Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,55.76,,Available,1
,1MGE0000185,Nebi 2.5 Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,56.9,,Available,1
,1MGE0000186,Naprosyn 500 Tablet,,RPG Life Sciences Ltd,,,,,,medication,No,GST,No,Yes,0,57.05,,Available,1
,1MGE0000187,Telmikind-AM Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,57.31,,Available,1
,1MGE0000188,Pioz 15 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,57.42,,Available,1
,1MGE0000189,Amlokind-L Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,57.83,,Available,1
,1MGE0000190,Naxdom 250 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,58,,Available,1
,1MGE0000191,K-Glim-M 2mg Tablet PR,,Blue Cross Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,58,,Available,1
,1MGE0000192,Lnbloc 5 Tablet,,Eris Lifesciences Ltd,,,,,,medication,No,GST,No,Yes,0,58.56,,Available,1
,1MGE0000193,Cardivas 6.25 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,59,,Available,1
,1MGE0000194,Montina-L Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,59,,Available,1
,1MGE0000195,Rantac 300 Tablet,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,59.05,,Available,1
,1MGE0000196,Metolar 50 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,59.34,,Available,1
,1MGE0000197,Amlosafe 3D Tablet,,Aristo Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,59.5,,Available,1
,1MGE0000198,Cilacar 5 Tablet,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,59.57,,Available,1
,1MGE0000199,Glimestar-M 1 Tablet PR,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,59.84,,Available,1
,1MGE0000200,Telma 20 Tablet,,Glenmark Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,59.89,,Available,1
